vdom,name,uuid,extip,extintf,mappedip
CP03CASH2,Dstnat_10.170.16.241-10.2.90.241,356e7e16-7e6a-51e7-cd34-55177a58c4c6,10.170.16.241,any,10.2.90.241
CP03CASH2,Dstnat_10.170.16.42-10.2.90.83,44e42b66-7e6a-51e7-9a98-25a9f2accd64,10.170.16.42,any,10.2.90.83
CP03CASH2,Dstnat_10.170.16.41-10.2.90.82,9d636944-7e6c-51e7-25e5-2d079f5b06c7,10.170.16.41,any,10.2.90.82
CP03CASH2,Dstnat_10.2.93.10-10.2.94.114,f798c240-84ef-51e7-fc77-0ba87ea1e7aa,10.2.93.10,any,10.2.94.114
CP03CASH2,Dstnat_10.2.93.121-10.241.150.21,0ac5bfe2-70d8-51e8-3469-394a5aab5cdf,10.2.93.121,any,10.241.150.21
CP03CASH2,Dstnat_10.2.93.122-10.241.150.22,10981a46-70d8-51e8-98d8-aaf3091bb7b2,10.2.93.122,any,10.241.150.22
CP03CASH2,Dstnat_10.2.93.243-10.241.150.241,f8ebb760-7bd4-51e8-eb75-9dd2c41afaa3,10.2.93.243,any,10.241.150.241
