vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,associated-interface,comment
CP03OTPC,Host_10.193.49.21,56febe9e-ad51-51e8-b2ab-d07950fa7c7c,,,,10.193.49.21 255.255.255.255,,,E.UCN,CMSA Staging Server
CP03OTPC,Host_192.168.224.70,1d2cdf86-3cfb-51e9-5357-2729c2edfc9f,,,,192.168.224.70 255.255.255.255,,,E.UCN,
CP03OTPC,Net_10.244.0.0/15,66b21814-42ab-51e9-aacf-0551b450a5ee,,,,10.244.0.0 255.254.0.0,,,I.CCI,
CP03OTPC,Net_10.248.0.0/15,6a3076a2-42ab-51e9-34b8-3b82495a1b49,,,,10.248.0.0 255.254.0.0,,,I.CCI,
CP03OTPC,Host_10.245.132.85,6ff5925c-42ab-51e9-ae30-c73ecca48bad,,,,10.245.132.85 255.255.255.255,,,I.CCI,WBMCAPP102
CP03OTPC,Host_10.245.132.86,752e2b9e-42ab-51e9-9a97-dde2f859bc21,,,,10.245.132.86 255.255.255.255,,,I.CCI,WBMCAPP103
CP03OTPC,Host_10.249.132.52,7930bfae-42ab-51e9-1ffe-1bf227fd87a2,,,,10.249.132.52 255.255.255.255,,,I.CCI,WBMCAPP202
CP03OTPC,Host_10.249.132.53,7dd7f040-42ab-51e9-077a-3daa7e642987,,,,10.249.132.53 255.255.255.255,,,I.CCI,WBMCAPP203
CP03OTPC,Range_192.168.35.21-26,8d657ee8-4764-51e9-e599-77c372fa38b9,iprange,192.168.35.21,192.168.35.26,,,,E.UCN,
CP03OTPC,Range_192.168.176.50-55,8d65f1f2-4764-51e9-45b3-55f24627069a,iprange,192.168.176.50,192.168.176.55,,,,E.UCN,
CP03OTPC,Net_192.168.188.0,8d666844-4764-51e9-f9c2-0fa6436a4024,,,,192.168.188.0 255.255.255.0,,,E.UCN,
CP03OTPC,Net_192.168.143.0,8d66cafa-4764-51e9-e73a-f2f98af5d18c,,,,192.168.143.0 255.255.255.0,,,E.UCN,
CP03OTPC,Host_192.168.166.219,8d672e0a-4764-51e9-a4ed-e53365af38b8,,,,192.168.166.219 255.255.255.255,,,E.UCN,
CP03OTPC,Range_192.168.166.184-185,8d6792d2-4764-51e9-d587-84362e893301,iprange,192.168.166.184,192.168.166.185,,,,E.UCN,
CP03OTPC,Net_10.91.37.0,8d680410-4764-51e9-efc3-cd180387e52e,,,,10.91.37.0 255.255.255.0,,,I.IISCORE,
