vdom,name,uuid,subnet,visibility,type,associated-interface,start-ip,end-ip
root,none,12843286-449d-51e6-c84f-cb410e71b8dc,0.0.0.0 255.255.255.255,,,,,
root,all,129744fc-449d-51e6-5c70-e110cd939c1f,,,,,,
root,FIREWALL_AUTH_PORTAL_ADDRESS,2f7ecd28-70be-51ea-9fc8-04350eebdabb,,disable,,,,
root,SSLVPN_TUNNEL_ADDR1,12979c72-449d-51e6-534a-c383a7cba076,,,iprange,ssl.root,10.212.134.200,10.212.134.210
DTH1COMM,none,4957a956-7198-51ea-6b1c-d7634aab4091,0.0.0.0 255.255.255.255,,,,,
DTH1COMM,SSLVPN_TUNNEL_ADDR1,49da87c2-7198-51ea-f281-c445c3152b58,,,iprange,ssl.DTH1COMM,10.212.134.200,10.212.134.210
DTH1COMM,all,49dab058-7198-51ea-3b5e-bec6d0548747,,,,,,
DTH1COMM,FIREWALL_AUTH_PORTAL_ADDRESS,49dab3a0-7198-51ea-7ed1-525865923c9f,,disable,,,,
DTH1COMM,host_10.63.142.209,bcd7e4d6-c6b1-51ea-6ee8-6291e5bc8175,10.63.142.209 255.255.255.255,,,,,
DTH1COMM,host_10.163.143.210,cc1381a8-c6b1-51ea-4220-6270d34ba15c,10.163.143.210 255.255.255.255,,,,,
DTH1COMM,net_10.1.153.0/24,dfcbf478-c6b1-51ea-6b57-c757e8a33e63,10.1.153.0 255.255.255.0,,,,,
DTH1COMM,net_10.151.34.0/24,7314c0fc-c6b2-51ea-f02d-e2c99ff8fa62,10.151.34.0 255.255.255.0,,,,,
DTH1COMM,net_10.151.52.0/24,7e4cf80e-c6b2-51ea-7bdc-e69e51387503,10.151.52.0 255.255.255.0,,,,,
DTH1COMM,net_10.151.54.0/24,88d7699e-c6b2-51ea-95ed-b19e4ce40fe4,10.151.54.0 255.255.255.0,,,,,
DTH1COMM,net_10.151.58.0/24,9bfe8c1e-c6b2-51ea-f9f4-706c12d62411,10.151.58.0 255.255.255.0,,,,,
