name,vdom,status,type,snmp-index,alias,description,mtu-override,mtu,ip,allowaccess,dedicated-to,trust-ip-1,trust-ip-2,trust-ip-3,mode,role,interface,vlanid
I_TOFAPP.3108,CT03OTPC,,,95,,,,,10.90.3.81 255.255.255.248,ping,,,,,,lan,port33,3108
I_MMDHPL.871,CT03CASH2,down,,45,,,,,10.1.106.254 255.255.255.0,ping,,,,,,lan,port33,871
I_MMDHPLM.872,CT03CASH2,down,,52,,,,,10.1.107.254 255.255.255.0,ping,,,,,,lan,port33,872
I_MMDHPL.873,CT03CASH2,down,,53,,,,,10.1.108.254 255.255.255.0,ping,,,,,,lan,port33,873
I_OMDCFE.791,CT03CASH2,down,,74,,,,,10.68.11.254 255.255.255.0,ping,,,,,,lan,port33,791
I_OMDCFEM.795,CT03CASH2,down,,79,,,,,10.68.15.254 255.255.255.0,ping,,,,,,lan,port33,795
I_TOFAPP.3101,CT03CASH2,,,75,,,,,10.90.3.1 255.255.255.248,ping,,,,,,lan,port33,3101
I_SATWEB.3102,CT03CASH2,,,76,,,,,10.90.3.9 255.255.255.248,ping,,,,,,lan,port33,3102
I_OADMAPP.3103,CT03CASH2,,,77,,,,,10.90.3.17 255.255.255.248,ping,,,,,,lan,port33,3103
I_OADMWEB.3104,CT03CASH2,,,78,,,,,10.90.3.25 255.255.255.248,ping,,,,,,lan,port33,3104
E_MDF.3217,CT03CASH2,,,97,,,,,10.90.2.73 255.255.255.248,ping,,,,,,lan,port39,3217
I_OADMWEB.3109,CT03OTPC,,,98,,,,,10.90.3.89 255.255.255.248,ping,,,,,,lan,port33,3109
E_WATEREZ.3215,CT03CASH2,,,99,,,,,10.90.2.57 255.255.255.248,ping,,,,,,lan,port39,3215
I_CNMC.3113,CT03CASH2,,,100,,,,,10.90.3.97 255.255.255.248,ping,,,,,,lan,port33,3113
I_CNMC.3114,CT03OTPC,,,101,,,,,10.90.3.105 255.255.255.248,ping,,,,,,lan,port33,3114
E_TOF.3212,CT03CASH2,,,103,,,,,10.90.2.33 255.255.255.248,ping,,,,,,lan,port39,3212
E_TOF.3218,CT03OTPC,,,102,,,,,10.90.2.81 255.255.255.248,ping,,,,,,lan,port39,3218
I_BCAN.3119,CT03CASH2,,,57,,,,,10.90.3.169 255.255.255.248,ping,,,,,,lan,port33,3119
E_EMFTP.C2.3223,CT03CASH2,,,59,,,,,10.90.2.113 255.255.255.248,ping,,,,,,lan,port39,3223
E_EMFTPA.3224,CT03CASH2,,,60,,,,,10.90.2.121 255.255.255.248,ping,,,,,,lan,port39,3224
I_CSC.3116,CT03OTPC,,,61,,,,,10.90.3.129 255.255.255.248,ping,,,,,,lan,port33,3116
I_MMDHPLT.1105,CT03CASH2,,,62,,,,,10.1.115.254 255.255.255.0,ping,,,,,,lan,port33,1105
I_CCI.3161,CT03CASH2,,,63,,,,,10.90.4.9 255.255.255.248,ping,,,,,,lan,port33,3161
I_CCI.3162,CT03OTPC,,,64,,,,,10.90.4.17 255.255.255.248,ping,,,,,,lan,port33,3162
I_IISCORE.3164,CT03OTPC,,,104,,,,,10.90.4.33 255.255.255.248,ping,,,,,,lan,port33,3164
