vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,comment,associated-interface
CT901CASH1,Range_10.164.12.81-82,422a9968-a332-51e7-6d01-74b57281c0c7,iprange,10.164.12.81,10.164.12.82,,,,,E.NMC
CT901CASH1,Range_10.164.141.81-82,5c58e0ce-a332-51e7-ed2e-ca1c51091e77,iprange,10.164.141.81,10.164.141.82,,,,,E.NMC
CT901CASH1,Host_10.164.12.85,72bf6b8a-a332-51e7-7603-bc895681d0cc,,,,10.164.12.85 255.255.255.255,,,,E.NMC
CT901CASH1,Host_10.164.141.85,80da9cb2-a332-51e7-b355-00c4a511f4f8,,,,10.164.141.85 255.255.255.255,,,,E.NMC
CT901CASH1,Net_10.164.130.0,28959652-a34a-51e7-3473-83d50acb0586,,,,10.164.130.0 255.255.255.0,,,,E.NMC
CT901CASH1,Net_10.164.12.0,f8a2eba0-a34b-51e7-6380-34ca53bc4cd9,,,,10.164.12.0 255.255.255.0,,,,E.NMC
CT901CASH1,Net_10.164.141.0,0a196a1c-a34c-51e7-4f8d-9c0ca435b28c,,,,10.164.141.0 255.255.255.0,,,,E.NMC
CT901CASH1,Net_10.63.121.0,26f3f1f8-aa3a-51e7-b4a1-45280988ea16,,,,10.63.121.0 255.255.255.0,,,,I.TOFAPP
CT901CASH1,Host_10.164.130.26,c6cce682-af2e-51e7-fb57-a7cff8d5ce01,,,,10.164.130.26 255.255.255.255,,,,E.NMC
CT901CASH1,Net_10.1.84.0,e0899348-b24b-51e7-11c3-343886cb6f6b,,,,10.1.84.0 255.255.255.0,,,,I.CASH.Trust
CT901CASH1,Net_192.168.144.0,c6df95a0-b313-51e7-5e6f-bfa59dee5f75,,,,192.168.144.0 255.255.255.0,,,,E.MDF1.PB
CT901CASH1,Host_192.168.144.76,2600a07a-b318-51e7-74a0-4903d757a9d2,,,,192.168.144.76 255.255.255.255,,,,E.MDF1.PB
CT901CASH1,Range_10.70.12.1-4_2,b578062c-b7a4-51e7-908a-fdd5a5a44ea3,iprange,10.70.12.1,10.70.12.4,,,,,E.OCG
CT901CASH1,Host_10.1.90.105,3e075e50-b7d4-51e7-30c2-d7a3393de05e,,,,10.1.90.105 255.255.255.255,,,,I.CASH.Trust
CT901CASH1,Range_10.90.25.39-40,9f18992e-ba1e-51e7-9865-e1f3cf316466,iprange,10.90.25.39,10.90.25.40,,,,,I.OAdmAPP
CT901CASH1,Host_10.90.11.35,c1e53462-ba1e-51e7-ef2e-9ed2a3f0d583,,,,10.90.11.35 255.255.255.255,,,,I.CASHMGT
CT901CASH1,Host_10.91.11.35,cc4d6654-ba1e-51e7-2ce6-dd3026195de6,,,,10.91.11.35 255.255.255.255,,,,I.CASHMGT
CT901CASH1,Range_10.91.25.39-40,ea0feda6-ba1e-51e7-c712-7aa966748a12,iprange,10.91.25.39,10.91.25.40,,,,,I.OAdmAPP
CT901CASH1,Host_192.168.144.76_IIS,bb1720f2-c39f-51e7-0e61-f20940f50222,,,,192.168.144.76 255.255.255.255,,,,E_DR_IIS
CT901CASH1,Host_10.164.1.200,b128ad06-c3b1-51e7-5672-ae59780e31e0,,,,10.164.1.200 255.255.255.255,,,,E.NMC
CT901CASH1,Host_10.164.1.201,c03a243c-c3b1-51e7-4156-6f74622fc55e,,,,10.164.1.201 255.255.255.255,,,,E.NMC
CT901CASH1,Host_10.164.129.200,cf2d6012-c3b1-51e7-96c2-0ece51762bf5,,,,10.164.129.200 255.255.255.255,,,,E.NMC
CT901CASH1,Host_10.164.129.201,de58ac40-c3b1-51e7-280b-b0bc43c1f339,,,,10.164.129.201 255.255.255.255,,,,E.NMC
CT901CASH1,Host_10.90.11.111,680d0cc4-c3b2-51e7-05c0-bee198eed115,,,,10.90.11.111 255.255.255.255,,,,I.CASHMGT
CT901CASH1,Host_10.90.10.112,78c15fac-c3b2-51e7-f213-f93ceda81b1c,,,,10.90.10.112 255.255.255.255,,,,I.CASHMGT
CT901CASH1,Host_10.90.11.112,8d6e5bd0-c3b2-51e7-8c25-a6db39dbfbe6,,,,10.90.11.112 255.255.255.255,,,,I.CASHMGT
CT901CASH1,Host_10.90.10.113,97d95142-c3b2-51e7-7a43-ac8a8fae1211,,,,10.90.10.113 255.255.255.255,,,,I.CASHMGT
CT901CASH1,Host_10.90.11.113,a458189a-c3b2-51e7-b83e-19696d296063,,,,10.90.11.113 255.255.255.255,,,,I.CASHMGT
CT901CASH1,Range_10.90.11.151-153,b6d49e8a-c3b2-51e7-6458-e5a00501bb44,iprange,10.90.11.151,10.90.11.153,,,,,I.CASHMGT
CT901CASH1,Host_10.164.11.85,1f5fb2dc-c3c7-51e7-1e46-c82debc886e8,,,,10.164.11.85 255.255.255.255,,,,E.NMC
CT901CASH1,Host_10.164.140.85,303f5a58-c3c7-51e7-ecd1-7d10c8d4c140,,,,10.164.140.85 255.255.255.255,,,,E.NMC
CT901CASH1,Range_192.168.20.14-15,838d4f2e-c87e-51e7-14eb-b446cd714a50,iprange,192.168.20.14,192.168.20.15,,,,,E.MDF1.TB
CT901CASH1,Net_192.168.20.0,9ad5729c-c87e-51e7-dcd9-2d6e21062603,,,,192.168.20.0 255.255.255.0,,,,E.MDF1.TB
CT901CASH1,Range_192.168.20.24-25,93dfbfa4-d3de-51e7-cc23-d5a1bed391f0,iprange,192.168.20.24,192.168.20.25,,,,,E.MDF1.TB
CT901CASH1,Host_10.163.245.5,0663df46-d4da-51e7-e88c-e9a566edddd1,,,,10.163.245.5 255.255.255.255,,,,I.Dev.CASHMGT
CT901CASH1,Host_192.168.20.10-16,a1e7fdf0-d5a0-51e7-468c-2eac500cc2bf,iprange,192.168.20.10,192.168.20.16,,,,,E.MDF1.TB
CT901CASH1,Host_172.16.64.38,45cd8474-d8c3-51e7-ea4d-2d3f0f83fc62,,,,172.16.64.38 255.255.255.255,,,,E.XSYS
CT901CASH1,Range_10.1.88.80-81,6194e30a-d8c3-51e7-0585-1c3c1e775127,iprange,10.1.88.80,10.1.88.81,,,,,I.CASH.Trust
CT901CASH1,Range_10.2.88.80-81,9502ae84-d8c3-51e7-ae1d-a7ea32d7fe4c,iprange,10.2.88.80,10.2.88.81,,,,,I.CASH.Trust
CT901CASH1,Range_10.1.88.84-85,a8463f10-d8c3-51e7-5422-80d3967a1b0c,iprange,10.1.88.84,10.1.88.85,,,,,I.CASH.Trust
CT901CASH1,Range_10.2.88.84-85,bab404de-d8c3-51e7-10e2-0a7892360c1b,iprange,10.2.88.84,10.2.88.85,,,,,I.CASH.Trust
CT901CASH1,Host_10.161.4.30,208fc55e-d8c4-51e7-9a41-f826ceb67f4d,,,,10.161.4.30 255.255.255.255,,,,E.XSYS
CT901CASH1,Net_172.16.64.40,739efe90-d8c4-51e7-ad69-9941ab0f46a0,,,,172.16.64.40 255.255.255.255,,,,E.XSYS
CT901CASH1,Net_172.16.64.0,ab2adf6e-d8c4-51e7-0cde-7df6c5d23d1e,,,,172.16.64.0 255.255.255.0,,,,E.XSYS
CT901CASH1,Net_10.161.4.0,b85980dc-d8c4-51e7-8a53-a2a6763185af,,,,10.161.4.0 255.255.255.0,,,,E.XSYS
CT901CASH1,Host_172.16.128.37,e169c842-d8c9-51e7-bdfd-ded49956ecf7,,,,172.16.128.37 255.255.255.255,,,,E.XSYS
CT901CASH1,Net_172.16.128.0,01b677b2-d8ca-51e7-65ba-f66cc2226fb5,,,,172.16.128.0 255.255.255.0,,,,E.XSYS
CT901CASH1,Range_10.70.12.33-34,3d84a8f6-d98b-51e7-26f9-62ecc8895510,iprange,10.70.12.33,10.70.12.34,,,,,I.TOFAPP
CT901CASH1,Host_172.16.64.149,58ec4b9e-d98b-51e7-46ef-00a64a275ec6,,,,172.16.64.149 255.255.255.255,,,pomdosi001,E.XSYS
CT901CASH1,Host_172.16.128.149,6d445528-d98b-51e7-1e1c-7d145261149c,,,,172.16.128.149 255.255.255.255,,,somdosi001,E.XSYS
CT901CASH1,Range_10.70.2.33-34,df268a72-d994-51e7-f057-3e875bcff372,iprange,10.70.2.33,10.70.2.34,,,,,I.TOFAPP
CT901CASH1,Host_172.16.128.39,fb27773e-d9a5-51e7-7b5c-c256c69b3829,,,,172.16.128.39 255.255.255.255,,,,E.XSYS
CT901CASH1,Range_10.18.117.1-2,63caa004-dfdc-51e7-4781-7a8f3672b42a,iprange,10.18.117.1,10.18.117.2,,,,,Dev.MiddleSky
CT901CASH1,Net_10.18.103.0,8947cd74-e465-51e7-667b-f71100e02afe,,,,10.18.103.0 255.255.255.0,,,,Dev.MiddleSky
CT901CASH1,Net_10.18.108.0,9602b538-e465-51e7-34b1-df29f881dd8f,,,,10.18.108.0 255.255.255.0,,,,Dev.MiddleSky
CT901CASH1,Range_10.163.247.140-159,374c9d76-e468-51e7-ffa9-6b019b9c6d8d,iprange,10.163.247.140,10.163.247.159,,,,,I.Dev.CASHMGT
CT901CASH1,Net_10.163.234.248,ccb70fae-e468-51e7-94f0-36e1ed29d69e,,,,10.163.234.248 255.255.255.255,,,,I.Dev.CASH
CT901CASH1,Net_10.2.95.0,ee633d50-e6e1-51e7-43ec-5b3a44ace7b8,,,,10.2.95.0 255.255.255.0,,,,I.CASH.Trust
CT901CASH1,Net_10.70.6.0,807fa68c-e6e3-51e7-3ce4-ef7aea15c62e,,,,10.70.6.0 255.255.255.0,,,,I.TOFAPP
CT901CASH1,Net_10.70.5.0_,a351656a-e6ed-51e7-aaf0-79b30d36f931,,,,10.70.5.0 255.255.255.0,,,,I.SATWEB
CT901CASH1,Host_192.168.220.157,579f87e4-e6ef-51e7-ec99-48e37eb98a03,,,,192.168.220.157 255.255.255.255,,,,E.UCN
CT901CASH1,Host_10.63 125.101,d071283a-e6ef-51e7-135e-c2776a705e83,,,,10.63.125.101 255.255.255.255,,,,E.Dev.CASHIAN
CT901CASH1,Host_192.168.35.25,fcf68c4c-e6ef-51e7-eb08-b4680987fe58,,,,192.168.35.25 255.255.255.255,,,,E.UCN
CT901CASH1,HOST_10.163.236.29,6393c4ee-ef59-51e7-7a30-4f89972bb68d,,,,10.163.236.29 255.255.255.255,,,,I.Dev.CASH
CT901CASH1,Host_172.16.64.76,80e58cc8-f1be-51e7-a25e-129c6a9f737a,,,,172.16.64.76 255.255.255.255,,,,E.XSYS
CT901CASH1,Host_172.16.128.57,988c4d4e-f1be-51e7-210f-758e94a03be7,,,,172.16.128.57 255.255.255.255,,,,E.XSYS
CT901CASH1,Host_10.64.128.157,d3c0eb72-f1f0-51e7-f19e-1591e034f238,,,,10.64.128.157 255.255.255.255,,,,E.XSYS
CT901CASH1,Net_10.155.0.0,7dba9f42-f75f-51e7-73b6-e0419c08be19,,,,10.155.0.0 255.255.0.0,,,,E.OMDD4
CT901CASH1,Net_10.156.0.0,8b617454-f75f-51e7-c083-3167c0c43525,,,,10.156.0.0 255.255.0.0,,,,E.OMDD4
CT901CASH1,Net_10.157.0.0,96ddb9dc-f75f-51e7-04c8-22bf9551d8e7,,,,10.157.0.0 255.255.0.0,,,,E.OMDD4
CT901CASH1,Range_10.1.90.41-42,b21bc1ee-f75f-51e7-473e-fd759f79b906,iprange,10.1.90.41,10.1.90.42,,,,,I.CASH.Trust
CT901CASH1,Host_10.90.20.39,8a3e00f8-00b8-51e8-7ef6-9c43f7cc3a00,,,,10.90.20.39 255.255.255.255,,,,I.OAdmAPP
CT901CASH1,Host_10.91.20.39,9cddd936-00b8-51e8-4f1f-f711bbcc3633,,,,10.91.20.39 255.255.255.255,,,,I.OAdmAPP
CT901CASH1,Range_10.164.11.102-103,3153b16e-0a3f-51e8-7921-84b421a93821,iprange,10.164.11.102,10.164.11.103,,,,,E.NMC
CT901CASH1,Range_10.164.140.102-103,4a777b8a-0a3f-51e8-0a77-c2820af8a8f7,iprange,10.164.140.102,10.164.140.103,,,,,E.NMC
CT901CASH1,Host_10.164.12.95,0aace912-0a40-51e8-3423-5e0a02f852a8,,,,10.164.12.95 255.255.255.255,,,,E.NMC
