vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,proxy
DTH1COMM,DCE-RPC,Remote Access,,135,135,,,,
DTH1COMM,POP3,Email,,110,,,,,
DTH1COMM,POP3S,Email,,995,,,,,
DTH1COMM,PPTP,Tunneling,,1723,,,,,
DTH1COMM,QUAKE,,,,26000 27000 27910 27960,,disable,,
DTH1COMM,RAUDIO,,,,7070,,disable,,
DTH1COMM,REXEC,,,512,,,disable,,
DTH1COMM,RIP,Network Services,,,520,,,,
DTH1COMM,RLOGIN,,,513:512-1023,,,disable,,
DTH1COMM,RSH,,,514:512-1023,,,disable,,
DTH1COMM,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
DTH1COMM,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
DTH1COMM,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
DTH1COMM,SAMBA,File Access,,139,,,,,
DTH1COMM,SMTP,Email,,25,,,,,
DTH1COMM,SMTPS,Email,,465,,,,,
DTH1COMM,SNMP,Network Services,,161-162,161-162,,,,
DTH1COMM,SSH,Remote Access,,22,,,,,
DTH1COMM,SYSLOG,Network Services,,,514,,,,
DTH1COMM,TALK,,,,517-518,,disable,,
DTH1COMM,TELNET,Remote Access,,23,,,,,
DTH1COMM,TFTP,File Access,,,69,,,,
DTH1COMM,MGCP,,,,2427 2727,,disable,,
DTH1COMM,UUCP,,,540,,,disable,,
DTH1COMM,VDOLIVE,,,7000-7010,,,disable,,
DTH1COMM,WAIS,,,210,,,disable,,
DTH1COMM,WINFRAME,,,1494 2598,,,disable,,
DTH1COMM,X-WINDOWS,Remote Access,,6000-6063,,,,,
DTH1COMM,PING6,,ICMP6,,,,disable,128,
DTH1COMM,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
DTH1COMM,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
DTH1COMM,RDP,Remote Access,,3389,,,,,
DTH1COMM,VNC,Remote Access,,5900,,,,,
DTH1COMM,DHCP6,Network Services,,,546 547,,,,
DTH1COMM,SQUID,Tunneling,,3128,,,,,
DTH1COMM,SOCKS,Tunneling,,1080,1080,,,,
DTH1COMM,WINS,Remote Access,,1512,1512,,,,
DTH1COMM,RADIUS,Authentication,,,1812 1813,,,,
DTH1COMM,RADIUS-OLD,,,,1645 1646,,disable,,
DTH1COMM,CVSPSERVER,,,2401,2401,,disable,,
DTH1COMM,AFS3,File Access,,7000-7009,7000-7009,,,,
DTH1COMM,TRACEROUTE,Network Services,,,33434-33535,,,,
DTH1COMM,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
DTH1COMM,MMS,,,1755,1024-5000,,disable,,
DTH1COMM,KERBEROS,Authentication,,88 464,88 464,,,,
DTH1COMM,LDAP_UDP,Authentication,,,389,,,,
DTH1COMM,SMB,File Access,,445,,,,,
DTH1COMM,NONE,,,0,,,disable,,
DTH1COMM,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
DTH1COMM,TCP/22,,,22,,,,,
DTH1COMM,TCP/139,,,139,,,,,
DTH1COMM,TCP/445,,,445,,,,,
DTH1COMM,TCP/3389,,,3389,,,,,
DTH1COMM,PORT_HP_ILO,,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,
DTH1COMM,UDP/123,,,,123,,,,
DTH1COMM,TCP/8082-8083,,,8082-8083,,,,,
DTH1COMM,TCP/8090-8093,,,8090-8093,,,,,
DTH1COMM,TCP/8443,,,8443,,,,,
DTH1COMM,TCP/12024-12027,,,12024-12027,,,,,
DTH1COMM,TCP/14030,,,14030,,,,,
DTH1COMM,TCP_22,,,22,,,,,
DTH1DEV,ALL,General,IP,,,,,,
DTH1DEV,ALL_TCP,General,,1-65535,,,,,
DTH1DEV,ALL_UDP,General,,,1-65535,,,,
DTH1DEV,ALL_ICMP,General,ICMP,,,,,,
DTH1DEV,ALL_ICMP6,General,ICMP6,,,,,,
DTH1DEV,GRE,Tunneling,IP,,,47,,,
DTH1DEV,AH,Tunneling,IP,,,51,,,
DTH1DEV,ESP,Tunneling,IP,,,50,,,
DTH1DEV,AOL,,,5190-5194,,,disable,,
DTH1DEV,BGP,Network Services,,179,,,,,
DTH1DEV,DHCP,Network Services,,,67-68,,,,
DTH1DEV,DNS,Network Services,,53,53,,,,
DTH1DEV,FINGER,,,79,,,disable,,
DTH1DEV,FTP,File Access,,21,,,,,
DTH1DEV,FTP_GET,File Access,,21,,,,,
DTH1DEV,FTP_PUT,File Access,,21,,,,,
DTH1DEV,GOPHER,,,70,,,disable,,
DTH1DEV,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,
DTH1DEV,HTTP,Web Access,,80,,,,,
DTH1DEV,HTTPS,Web Access,,443,,,,,
DTH1DEV,IKE,Tunneling,,,500 4500,,,,
DTH1DEV,IMAP,Email,,143,,,,,
DTH1DEV,IMAPS,Email,,993,,,,,
DTH1DEV,Internet-Locator-Service,,,389,,,disable,,
DTH1DEV,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,
DTH1DEV,L2TP,Tunneling,,1701,1701,,,,
DTH1DEV,LDAP,Authentication,,389,,,,,
DTH1DEV,NetMeeting,,,1720,,,disable,,
DTH1DEV,NFS,File Access,,111 2049,111 2049,,,,
DTH1DEV,NNTP,,,119,,,disable,,
DTH1DEV,NTP,Network Services,,123,123,,,,
DTH1DEV,OSPF,Network Services,IP,,,89,,,
DTH1DEV,PC-Anywhere,Remote Access,,5631,5632,,,,
DTH1DEV,PING,Network Services,ICMP,,,,,8,
DTH1DEV,TIMESTAMP,,ICMP,,,,disable,13,
DTH1DEV,INFO_REQUEST,,ICMP,,,,disable,15,
DTH1DEV,INFO_ADDRESS,,ICMP,,,,disable,17,
DTH1DEV,ONC-RPC,Remote Access,,111,111,,,,
DTH1DEV,DCE-RPC,Remote Access,,135,135,,,,
DTH1DEV,POP3,Email,,110,,,,,
DTH1DEV,POP3S,Email,,995,,,,,
DTH1DEV,PPTP,Tunneling,,1723,,,,,
DTH1DEV,QUAKE,,,,26000 27000 27910 27960,,disable,,
DTH1DEV,RAUDIO,,,,7070,,disable,,
DTH1DEV,REXEC,,,512,,,disable,,
DTH1DEV,RIP,Network Services,,,520,,,,
DTH1DEV,RLOGIN,,,513:512-1023,,,disable,,
DTH1DEV,RSH,,,514:512-1023,,,disable,,
DTH1DEV,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,
DTH1DEV,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,
DTH1DEV,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,
DTH1DEV,SAMBA,File Access,,139,,,,,
DTH1DEV,SMTP,Email,,25,,,,,
DTH1DEV,SMTPS,Email,,465,,,,,
DTH1DEV,SNMP,Network Services,,161-162,161-162,,,,
DTH1DEV,SSH,Remote Access,,22,,,,,
DTH1DEV,SYSLOG,Network Services,,,514,,,,
DTH1DEV,TALK,,,,517-518,,disable,,
DTH1DEV,TELNET,Remote Access,,23,,,,,
DTH1DEV,TFTP,File Access,,,69,,,,
DTH1DEV,MGCP,,,,2427 2727,,disable,,
DTH1DEV,UUCP,,,540,,,disable,,
DTH1DEV,VDOLIVE,,,7000-7010,,,disable,,
DTH1DEV,WAIS,,,210,,,disable,,
DTH1DEV,WINFRAME,,,1494 2598,,,disable,,
DTH1DEV,X-WINDOWS,Remote Access,,6000-6063,,,,,
DTH1DEV,PING6,,ICMP6,,,,disable,128,
DTH1DEV,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,
DTH1DEV,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,
DTH1DEV,RDP,Remote Access,,3389,,,,,
DTH1DEV,VNC,Remote Access,,5900,,,,,
DTH1DEV,DHCP6,Network Services,,,546 547,,,,
DTH1DEV,SQUID,Tunneling,,3128,,,,,
DTH1DEV,SOCKS,Tunneling,,1080,1080,,,,
DTH1DEV,WINS,Remote Access,,1512,1512,,,,
DTH1DEV,RADIUS,Authentication,,,1812 1813,,,,
DTH1DEV,RADIUS-OLD,,,,1645 1646,,disable,,
DTH1DEV,CVSPSERVER,,,2401,2401,,disable,,
DTH1DEV,AFS3,File Access,,7000-7009,7000-7009,,,,
DTH1DEV,TRACEROUTE,Network Services,,,33434-33535,,,,
DTH1DEV,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,
DTH1DEV,MMS,,,1755,1024-5000,,disable,,
DTH1DEV,KERBEROS,Authentication,,88 464,88 464,,,,
DTH1DEV,LDAP_UDP,Authentication,,,389,,,,
DTH1DEV,SMB,File Access,,445,,,,,
DTH1DEV,NONE,,,0,,,disable,,
DTH1DEV,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable
DTH1HSN,ALL,General,IP,,,,,,
DTH1HSN,ALL_TCP,General,,1-65535,,,,,
DTH1HSN,ALL_UDP,General,,,1-65535,,,,
DTH1HSN,ALL_ICMP,General,ICMP,,,,,,
