vdom,id,gateway,device,dst
root,6,10.8.161.254,port26,
DTH1COMM,1,10.164.201.3,I.COMM.3001,10.63.142.0 255.255.255.0
DTH1COMM,2,10.164.201.3,I.COMM.3001,10.163.143.0 255.255.255.0
DTH1COMM,3,10.164.201.11,I.COMM.3001,10.2.153.0 255.255.255.0
DTH1COMM,4,10.164.205.86,I.PWTBP.2911,10.151.58.0 255.255.255.0
DTH1COMM,5,10.164.205.78,I.HTBP.2910,10.151.34.0 255.255.255.0
DTH1COMM,6,10.164.205.78,I.HTBP.2910,10.151.52.0 255.255.255.0
DTH1COMM,7,10.164.205.78,I.HTBP.2910,10.151.54.0 255.255.255.0
DTH1COMM,8,10.164.205.78,I.HTBP.2910,10.170.54.0 255.255.255.0
DTH1COMM,9,10.164.205.78,I.HTBP.2910,10.151.5.0 255.255.255.0
DTH1COMM,10,10.164.205.78,I.HTBP.2910,10.170.2.0 255.255.255.0
DTH1COMM,11,10.164.205.78,I.HTBP.2910,10.170.3.0 255.255.255.0
DTH1COMM,12,10.164.205.78,I.HTBP.2910,10.170.53.0 255.255.255.0
DTH1COMM,13,10.164.205.78,I.HTBP.2910,10.151.25.0 255.255.255.0
DTH1COMM,14,10.164.205.78,I.HTBP.2910,10.151.12.0 255.255.255.0
DTH1COMM,15,10.164.205.86,I.PWTBP.2911,10.151.13.0 255.255.255.0
DTH1COMM,16,10.164.205.86,I.PWTBP.2911,10.151.19.0 255.255.255.0
DTH1COMM,17,10.164.205.86,I.PWTBP.2911,10.151.14.0 255.255.255.0
DTH1COMM,18,10.164.205.94,I.SMARTTBP.2912,10.1.153.0 255.255.255.0
DTH1COMM,19,10.164.205.94,I.SMARTTBP.2912,10.1.150.0 255.255.255.0
DTH1COMM,20,10.164.205.94,I.SMARTTBP.2912,10.1.152.0 255.255.255.0
DTH1COMM,22,10.164.201.11,I.COMM.3001,10.170.64.0 255.255.255.0
DTH1COMM,23,10.164.201.3,I.COMM.3001,10.164.1.0 255.255.255.0
DTH1COMM,24,10.164.201.13,I.COMM.3001,10.164.129.0 255.255.255.0
DTH1COMM,25,10.164.201.13,I.COMM.3001,10.163.142.0 255.255.255.0
DTH1COMM,26,10.164.201.3,I.COMM.3001,10.164.130.0 255.255.255.0
DTH1COMM,27,10.164.201.3,I.COMM.3001,10.172.68.0 255.255.255.0
