vdom,name,uuid,member
CT03CASH2,NetGp_CNMC_Networker,cc6067cc-5550-51e8-475d-1001126a85cd,Host_10.164.11.85 Host_10.164.12.81 Host_10.164.12.82 Host_10.164.12.85 Host_10.164.12.95 Host_10.164.140.85 Host_10.164.141.81 Host_10.164.141.82 Host_10.164.141.95 Host_10.164.141.85
CT03CASH2,NetGp_NMC_Networker,1ccc5fc6-6051-51e8-8bd9-4025e2b1a55f,Host_10.164.139.85 Host_10.164.129.85 Host_10.164.129.95 Host_10.164.129.82
CT03CASH2,NetGp_IEIP_Jumpnode,fcf85704-6b54-51e8-72cb-c9af15e7680b,Range_192.168.150.107-108 Host_192.168.150.8 Range_192.168.188.174-175 Host_192.168.190.124
CT03CASH2,NetGp_CCI_BMC,eaf650a8-42a7-51e9-93e8-8cd06fa57f0d,Host_10.245.132.85 Host_10.245.132.86 Host_10.249.132.52 Host_10.249.132.53
CT03OTPC,NetGp_TimeServer,e313af9e-686e-51e7-9d1c-9a9d71f76f93,Host_10.164.1.100 Host_10.164.129.100 Host_10.164.1.200 Host_10.164.1.201 Host_10.164.129.200 Host_10.164.129.201
CT03OTPC,NetGp_Networker_NMC,fa6888a4-686e-51e7-32f0-d64ae6a5d55b,Host_10.164.1.1 Host_10.164.1.2 Host_10.164.1.3 Host_10.164.1.37 Host_10.164.1.38 Host_10.164.129.1 Host_10.164.129.2 Host_10.164.129.3 Host_10.164.129.37 Host_10.164.129.38
CT03OTPC,NetGp_DollarU_MGT,2f6acf1e-849c-51e7-61c5-c1517fea166e,Host_10.164.1.23 Host_10.164.1.51 Host_10.164.130.23 Host_10.164.130.51
CT03OTPC,NetGp_ORSYP_Consoles,0850b992-849d-51e7-d7fb-120178730980,Host_10.163.143.14 Host_10.63.142.38 Range_10.163.143.22-25 Range_10.63.142.16-19
CT03OTPC,NetGp_CNMC_Networker,3143ee1e-5553-51e8-ac04-9728e0147c4e,Host_10.164.11.85 Host_10.164.12.81 Host_10.164.12.82 Host_10.164.12.85 Host_10.164.12.95 Host_10.164.140.85 Host_10.164.141.81 Host_10.164.141.82 Host_10.164.141.95 Host_10.164.141.85
CT03OTPC,NetGp_CNMC,35d69454-5553-51e8-0341-0abb908cc401,Net_10.164.11.0 Net_10.164.12.0 Net_10.164.140.0 Net_10.164.141.0
CT03OTPC,NetGp_NMC,38d7b16a-5553-51e8-6de8-0d6256c324c9,Net_10.163.142.0 Net_10.163.143.0 Net_10.164.1.0 Net_10.164.129.0 Net_10.164.130.0 Net_10.63.142.0 Net_10.164.139.0
CT03OTPC,NetGp_NMC_Networker,207b0b8a-6052-51e8-2914-77a5f9609cba,Host_10.164.139.82 Host_10.164.139.85 Host_10.164.129.85 Host_10.164.129.95
CT03OTPC,NetGp_CCI_BMC,6d64c91a-42a9-51e9-b96c-21ff1467971a,Host_10.245.132.85 Host_10.245.132.86 Host_10.249.132.52 Host_10.249.132.53
