vdom,name,category,protocol,tcp-portrange,udp-portrange,protocol-number,visibility,icmptype,explicit-proxy,comment,fqdn
CT03CASH2,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,,,
CT03CASH2,L2TP,Tunneling,,1701,1701,,,,,,
CT03CASH2,LDAP,Authentication,,389,,,,,,,
CT03CASH2,NetMeeting,,,1720,,,disable,,,,
CT03CASH2,NFS,File Access,,111 2049,111 2049,,,,,,
CT03CASH2,NNTP,,,119,,,disable,,,,
CT03CASH2,NTP,Network Services,,123,123,,,,,,
CT03CASH2,OSPF,Network Services,IP,,,89,,,,,
CT03CASH2,PC-Anywhere,Remote Access,,5631,5632,,,,,,
CT03CASH2,PING,Network Services,ICMP,,,,,8,,,
CT03CASH2,TIMESTAMP,,ICMP,,,,disable,13,,,
CT03CASH2,INFO_REQUEST,,ICMP,,,,disable,15,,,
CT03CASH2,INFO_ADDRESS,,ICMP,,,,disable,17,,,
CT03CASH2,ONC-RPC,Remote Access,,111,111,,,,,,
CT03CASH2,DCE-RPC,Remote Access,,135,135,,,,,,
CT03CASH2,POP3,Email,,110,,,,,,,
CT03CASH2,POP3S,Email,,995,,,,,,,
CT03CASH2,PPTP,Tunneling,,1723,,,,,,,
CT03CASH2,QUAKE,,,,26000 27000 27910 27960,,disable,,,,
CT03CASH2,RAUDIO,,,,7070,,disable,,,,
CT03CASH2,REXEC,,,512,,,disable,,,,
CT03CASH2,RIP,Network Services,,,520,,,,,,
CT03CASH2,RLOGIN,,,513:512-1023,,,disable,,,,
CT03CASH2,RSH,,,514:512-1023,,,disable,,,,
CT03CASH2,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,,,
CT03CASH2,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,,,
CT03CASH2,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,,,
CT03CASH2,SAMBA,File Access,,139,,,,,,,
CT03CASH2,SMTP,Email,,25,,,,,,,
CT03CASH2,SMTPS,Email,,465,,,,,,,
CT03CASH2,SNMP,Network Services,,161-162,161-162,,,,,,
CT03CASH2,SSH,Remote Access,,22,,,,,,,
CT03CASH2,SYSLOG,Network Services,,,514,,,,,,
CT03CASH2,TALK,,,,517-518,,disable,,,,
CT03CASH2,TELNET,Remote Access,,23,,,,,,,
CT03CASH2,TFTP,File Access,,,69,,,,,,
CT03CASH2,MGCP,,,,2427 2727,,disable,,,,
CT03CASH2,UUCP,,,540,,,disable,,,,
CT03CASH2,VDOLIVE,,,7000-7010,,,disable,,,,
CT03CASH2,WAIS,,,210,,,disable,,,,
CT03CASH2,WINFRAME,,,1494 2598,,,disable,,,,
CT03CASH2,X-WINDOWS,Remote Access,,6000-6063,,,,,,,
CT03CASH2,PING6,,ICMP6,,,,disable,128,,,
CT03CASH2,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,,,
CT03CASH2,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,,,
CT03CASH2,RDP,Remote Access,,3389,,,,,,,
CT03CASH2,VNC,Remote Access,,5900,,,,,,,
CT03CASH2,DHCP6,Network Services,,,546 547,,,,,,
CT03CASH2,SQUID,Tunneling,,3128,,,,,,,
CT03CASH2,SOCKS,Tunneling,,1080,1080,,,,,,
CT03CASH2,WINS,Remote Access,,1512,1512,,,,,,
CT03CASH2,RADIUS,Authentication,,,1812 1813,,,,,,
CT03CASH2,RADIUS-OLD,,,,1645 1646,,disable,,,,
CT03CASH2,CVSPSERVER,,,2401,2401,,disable,,,,
CT03CASH2,AFS3,File Access,,7000-7009,7000-7009,,,,,,
CT03CASH2,TRACEROUTE,Network Services,,,33434-33535,,,,,,
CT03CASH2,RTSP,"VoIP, Messaging & Other Applications",,554 7070 8554,554,,,,,,
CT03CASH2,MMS,,,1755,1024-5000,,disable,,,,
CT03CASH2,KERBEROS,Authentication,,88 464,88 464,,,,,,
CT03CASH2,LDAP_UDP,Authentication,,,389,,,,,,
CT03CASH2,SMB,File Access,,445,,,,,,,
CT03CASH2,NONE,,,0,,,disable,,,,
CT03CASH2,webproxy,Web Proxy,ALL,0-65535:0-65535,,,,,enable,,
CT03CASH2,PORT_NTP,HKEX_USE,,,123,,,,,,
CT03CASH2,TCP/22,HKEX_USE,,22,,,,,,,
CT03CASH2,PORT_NMC_VC,HKEX_USE,,21 22 80 443 17988 623 17990 40000-41000 2381,,,,,,,
CT03CASH2,PORT_SNMP,HKEX_USE,,161-162,161-162,,,,,,
CT03CASH2,PORT_BMC,HKEX_USE,,2059 1828-1838 12124 4750 1533 3181-3183 9840-9842,,,,,,,
CT03CASH2,PORT_Networker,HKEX_USE,,111 514 1039 1047-1048 2049 2051-2052 7937-9936,514 111 1039 1047-1048 2049 2051-2052 7937-9936,,,,,,
CT03CASH2,PORT_ORSYP_Server,HKEX_USE,,10700 10704-10705 10717 10720 10724 10715 10711,,,,,,,
CT03CASH2,PORT_ORSYP_Agents,HKEX_USE,,10600-10601 10605-10606 10611-10612 10615 10620-10621 4184,,,,,,,
CT03CASH2,PORT_ORSYP_Timeout,HKEX_USE,,10600-10601 10605-10606 10611-10612 10615,,,,,,,
CT03CASH2,TCP/80,HKEX_USE,,80,,,,,,,
CT03CASH2,PORT_OneView,HKEX_USE,,443,161-162 2162,,,,,,
CT03CASH2,PORT_PIM,HKEX_USE,,22 139 445 3389,,,,,,,
CT03CASH2,PORT_TOF_VC,HKEX_USE,,21 22 80 443 3010 3389 12024-12027 17988 17990,,,,,,,
CT03CASH2,TCP/2381,HKEX_USE,,2381,,,,,,,
CT03CASH2,PORT_OMD_CTLFE_VC,HKEX_USE,,22-23 80 443 3389 17988 17990 9300 3302 445,,,,,,,
CT03CASH2,UDP/161-162,HKEX_USE,,,161-162,,,,,,
CT03CASH2,TCP/4750,HKEX_USE,,4750,,,,,,,
CT03CASH2,PORT_WarRmAccess,HKEX_USE,,22-23 80 443 3389 17988 9300 17990 3002,,,,,,,
CT03CASH2,UDP/137-138,HKEX_USE,,,137-138,,,,,,
CT03CASH2,TCP/3389,HKEX_USE,,3389,,,,,,,
CT03CASH2,UDP/514-515,HKEX_USE,,,514-515,,,,,,
CT03CASH2,TCP/2967,HKEX_USE,,2967,,,,,,,
CT03CASH2,TCP/5723,HKEX_USE,,5723,,,,,,,
CT03CASH2,TCP/137-139,HKEX_USE,,137-139,,,,,,,
CT03CASH2,TCP/25,HKEX_USE,,25,,,,,,,
CT03CASH2,UDP/22,HKEX_USE,,,22,,,,,,
CT03CASH2,PORT_FTPS,HKEX_USE,,20-21,,,,,,,
CT03CASH2,TCP/20,HKEX_USE,,20,,,,,,,
CT03CASH2,TCP/443,HKEX_USE,,443,,,,,,,
CT03CASH2,TCP/4184,HKEX_USE,,4184,,,,,,,
CT03CASH2,TCP/139,HKEX_USE,,139,,,,,,,
CT03CASH2,TCP/5985-5986,HKEX_USE,,5985-5986,,,,,,,
CT03CASH2,TCP/21,HKEX_USE,,21,,,,,,,
CT03CASH2,TCP/8080,HKEX_USE,,8080,,,,,,,
CT03CASH2,TCP/20000,HKEX_USE,,20000,,,,,,,
CT03CASH2,TCP/445,HKEX_USE,,445,,,,,,,
CT03CASH2,TCP/8443,HKEX_USE,,8443,,,,,,,
CT03CASH2,UDP/20000,HKEX_USE,,,20000,,,,,,
CT03CASH2,TCP/3121-3122,HKEX_USE,,3121-3122,,,,,,,
CT03CASH2,TCP/17520-17522,HKEX_USE,,17520-17522,,,,,,,
CT03CASH2,TCP/5120,HKEX_USE,,5120,,,,,,,
CT03CASH2,TCP/8014,HKEX_USE,,8014,,,,,,,
CT03CASH2,PORT_REUTERS,HKEX_USE,,8101 14002 8250 28101 24002,,,,,,,
CT03CASH2,PORT_SAT_WEB_MGT,HKEX_USE,,22-23 80 161 443 1311 2301 2381 3002 3257 3389 5988-5989 8008 9300 17988-17990,161 514,,,,,"TCP/22,23,80,161,443,1311,2301,2381,3002,3257,3389,5988-5989,8008,9300,17988,17990	UDP/161, 514",
CT03CASH2,TCP/1024-65535,HKEX_USE,,1024-65535,,,,,,,
CT03CASH2,TCP/12124,HKEX_USE,,12124,,,,,,,
CT03CASH2,TCP/123,HKEX_USE,,123,,,,,,,
CT03CASH2,TCP/135,HKEX_USE,,135,,,,,,,
CT03CASH2,TCP/13724,HKEX_USE,,13724,,,,,,,
CT03CASH2,TCP/1556,HKEX_USE,,1556,,,,,,,
CT03CASH2,TCP/162,HKEX_USE,,162,,,,,,,
CT03CASH2,TCP/1828-1838,HKEX_USE,,1828-1838,,,,,,,
CT03CASH2,TCP/1888-1889,HKEX_USE,,1888-1889,,,,,,,
CT03CASH2,TCP/23,HKEX_USE,,23,,,,,,,
CT03CASH2,TCP/27171,HKEX_USE,,27171,,,,,,,
CT03CASH2,TCP/30106,HKEX_USE,,30106,,,,,,,
CT03CASH2,TCP/30206,HKEX_USE,,30206,,,,,,,
CT03CASH2,TCP/30906,HKEX_USE,,30906,,,,,,,
CT03CASH2,TCP/31106,HKEX_USE,,31106,,,,,,,
CT03CASH2,TCP/31206,HKEX_USE,,31206,,,,,,,
CT03CASH2,TCP/3181-3183,HKEX_USE,,3181-3183,,,,,,,
CT03CASH2,TCP/31906,HKEX_USE,,31906,,,,,,,
CT03CASH2,TCP/32000-33999,HKEX_USE,,32000-33999,,,,,,,
CT03CASH2,TCP/383,HKEX_USE,,383,,,,,,,
CT03CASH2,TCP/389,HKEX_USE,,389,,,,,,,
CT03CASH2,TCP/4,HKEX_USE,,4,,,,,,,
CT03CASH2,TCP/50000-50005,HKEX_USE,,50000-50005,,,,,,,
CT03CASH2,TCP/50004,HKEX_USE,,50004,,,,,,,
CT03CASH2,TCP/51000-51005,HKEX_USE,,51000-51005,,,,,,,
CT03CASH2,TCP/513,HKEX_USE,,513,,,,,,,
CT03CASH2,TCP/53,HKEX_USE,,53,,,,,,,
CT03CASH2,TCP/53801,HKEX_USE,,53801,,,,,,,
CT03CASH2,TCP/61001-61002,HKEX_USE,,61001-61002,,,,,,,
CT03CASH2,TCP/62001-62004,HKEX_USE,,62001-62004,,,,,,,
CT03CASH2,TCP/8,HKEX_USE,,8,,,,,,,
CT03CASH2,TCP/9383,HKEX_USE,,9383,,,,,,,
CT03CASH2,UDP/1645-1616,HKEX_USE,,,1616-1645,,,,,,
CT03CASH2,UDP/50004,HKEX_USE,,,50004,,,,,,
CT03CASH2,UDP/514,HKEX_USE,,,514,,,,,,
CT03CASH2,TCP/40000-41000,HKEX_USE,,40000-41000,,,,,,,
CT03CASH2,TCP/45000-46000,HKEX_USE,,45000-46000,,,,,,,
CT03CASH2,TCP/137-138,HKEX_USE,,137-138,,,,,,,
CT03CASH2,TCP/1688,HKEX_USE,,1688,,,,,,,
CT03CASH2,TCP/30000-30010,HKEX_USE,,30000-30010,,,,,,,
CT03CASH2,UDP/135-139,HKEX_USE,,,135-139,,,,,,
CT03CASH2,TCP/29108-29112,HKEX_USE,,29108-29112,,,,,,,
CT03CASH2,UDP/29108-29112,HKEX_USE,,,29108-29112,,,,,,
CT03CASH2,TCP/10123,HKEX_USE,,10123,,,,,,,
CT03CASH2,TCP/2701,HKEX_USE,,2701,,,,,,,
CT03CASH2,TCP/636,HKEX_USE,,636,,,,,,,
CT03CASH2,TCP/3268-3269,HKEX_USE,,3268-3269,,,,,,,
CT03CASH2,TCP/135-139,HKEX_USE,,135-139,,,,,,,
CT03CASH2,UDP/636,HKEX_USE,,,636,,,,,,
CT03CASH2,TCP/50000-50001,HKEX_USE,,50000-50001,,,,,,,
CT03CASH2,TCP/51000-51001,HKEX_USE,,51000-51001,,,,,,,
CT03CASH2,TCP/7937-9936,HKEX_USE,,7937-9936,,,,,,,
CT03CASH2,UDP/7937-7960,HKEX_USE,,,7937-7960,,,,,,
CT03CASH2,TCP/514,HKEX_USE,,514,,,,,,,
CT03CASH2,TCP/111,HKEX_USE,,111,,,,,,,
CT03CASH2,UDP/111,HKEX_USE,,,111,,,,,,
CT03CASH2,TCP/2049,HKEX_USE,,2049,,,,,,,
CT03CASH2,TCP/2051-2052,HKEX_USE,,2051-2052,,,,,,,
CT03CASH2,TCP/55455,HKEX_USE,,55455,,,,,,,
CT03CASH2,TCP/55855,HKEX_USE,,55855,,,,,,,
CT03CASH2,TCP/50001-50100,HKEX_USE,,50001-50100,,,,,,,
CT03CASH2,TCP/1888,HKEX_USE,,1888,,,,,,,
CT03CASH2,ICMP/13,HKEX_USE,ICMP,,,,,13,,,
CT03CASH2,ICMP/14,HKEX_USE,ICMP,,,,,14,,,
CT03CASH2,ICMP/PING,HKEX_USE,ICMP,,,,,8,,,
CT03CASH2,TCP/30088,HKEX_USE,,30088,,,,,,,
CT03CASH2,TCP/38000-39000,HKEX_USE,,38000-39000,,,,,,,
CT03CASH2,TCP/55755,HKEX_USE,,55755,,,,,,,
CT03CASH2,TCP/8192,HKEX_USE,,8192,,,,,,,
CT03CASH2,UDP/131,HKEX_USE,,,131,,,,,,
CT03CASH2,TCP/2068,HKEX_USE,,2068,,,,,,,
CT03CASH2,TCP/3871,HKEX_USE,,3871,,,,,,,3871
CT03CASH2,TCP/3211,HKEX_USE,,3211,,,,,,,3211
CT03CASH2,TCP/5432,HKEX_USE,,5432,,,,,,,
CT03CASH2,PORT_FTP_DATA,HKEX_USE,,1024-65535,,,,,,,
CT03CASH2,TCP/50000-50300,HKEX_USE,,50000-50300,,,,,,,
CT03CASH2,PORT_OMD_CTL,HKEX_USE,,55380-55385 55388-55393 55398-55400 56388 56392-56393,,,,,,,
CT03CASH2,TCP/50004-50005,HKEX_USE,,50004-50005,,,,,,,
CT03CASH2,TCP/51004-51005,HKEX_USE,,51004-51005,,,,,,,
CT03CASH2,TCP/5500-5700,HKEX_USE,,5500-5700,,,,,,,
CT03CASH2,PORT_ORSYP_Agents_TOF,HKEX_USE,,10700-10701 10705-10706 10711-10712 10715 10720-10721 4184,,,,,,,
CT03CASH2,TCP/22230,HKEX_USE,,22230,,,,,,,
CT03CASH2,TCP/27230,HKEX_USE,,27230,,,,,,,
CT03CASH2,TCP/69,HKEX_USE,,69,,,,,,,
CT03CASH2,TCP//20,HKEX_USE,,20,,,,,,,
CT03CASH2,UDP/161,HKEX_USE,,,161,,,,,,
CT03CASH2,TCP&UDP/464,,,464,464,,,,,,
CT03CASH2,TCP/5722,HKEX_USE,,5722,,,,,,,
CT03CASH2,TCP&UDP/42,HKEX_USE,,42,42,,,,,,
CT03CASH2,UDP/1024-65535,,,,1024-65535,,,,,,
CT03CASH2,LDAPS,HKEX_USE,,636,636,,,,,,
CT03CASH2,TCP/63001-63002,HKEX_USE,,63001-63002,,,,,,,
CT03CASH2,TCP/64001-64002,HKEX_USE,,64001-64002,,,,,,,
CT03CASH2,TCP/20-22,HKEX_USE,,20-22,,,,,,,
CT03CASH2,TCP/29108,HKEX_USE,,29108,,,,,,,
CT03CASH2,TCP/41002,HKEX_USE,,41002,,,,,,,
CT03CASH2,PORT_IPM,HKEX_USE,,80 443 2967 8443-8447 9090,,,,,,,
CT03CASH2,PORT_CNMC_Networker,HKEX_USE,,111 514 2049 4001 2051-2052 7937-9936,111 514 2049 4001 2051-2052 7937-9936,,,,,,
CT03CASH2,PORT_CNMC_BMC,HKEX_USE,,2059 1828-1838 3181-3183 12124 9840-9842,,,,,,,
CT03CASH2,Port_BMC,,,2059 1828-1838 12124 4750 1533 3181-3183 9840-9842,,,,,,,
CT03CASH2,UDP/162,,,,162,,,,,,
CT03CASH2,UDP/123,HKEX_USE,,,123,,,,,,
CT03CASH2,PORT_ESXI_MGT,HKEX_USE,,22 427 443 902 5988 5989,427 902 6999 12345 23451,,,,,,
CT03CASH2,PORT_ESXI_INFO,HKEX_USE,,443 5989 8000 8001,902 6500,,,,,,
CT03CASH2,PORT_AD,HKEX_USE,,88 123 235 137 139 389 445 464 3268,,,,,,,
CT03CASH2,PORT_HP_ILP,HKEX_USE,,22 23 80 443 623 3002 3389 9300 17988 17990,,,,,,,
CT03CASH2,TCP/902,HKEX_USE,,902,,,,,,,
CT03CASH2,UDP/427,HKEX_USE,,,427,,,,,,
CT03CASH2,TCP/1433,HKEX_USE,,1433,,,,,,,
CT03CASH2,TCP/444,HKEX_USE,,444,,,,,,,
CT03CASH2,TCP/10022,HKEX_USE,,10022,,,,,,,
CT03CASH2,TCP/1434,HKEX_USE,,1434,,,,,,,
CT03CASH2,TCP/31128,HKEX_USE,,31128,,,,,,,
CT03CASH2,TCP/31228,HKEX_USE,,31228,,,,,,,
CT03CASH2,TCP/31928,HKEX_USE,,31928,,,,,,,
CT03CASH2,PORT_to_CCI_BMC,HKEX_USE,,2059 1828-1838 3181-3183,,,,,,,
CT03CASH2,PORT_from_CCI_BMC,HKEX_USE,,2059 1828-1838 3181-3183 3381 3481 3581 3681 3781 3881 3891,,,,,,,
CT03CASH2,TCP/50006-50007,HKEX_USE,,50006-50007,,,,,,,
CT03CASH2,TCP/51006-51007,HKEX_USE,,51006-51007,,,,,,,
CT03CASH2,PORT_AD_TCP,HKEX_USE,,53 3268-3269 389 636 135 1024-65535 445 88 464 137-139,,,,,,,
CT03CASH2,PORT_AD_UDP,HKEX_USE,,,53 123 389 636 500 4500 1024-65535 137-138 88 464,,,,,,
CT03CASH2,PORT_STRATUS_VTM,HKEX_USE,,80 443 10123 2701 389 636 3268-3269 445 135 139,636 135 137-138,,,,,,
CT03CASH2,PORT_PATCH_MGT,HKEX_USE,,137-139 445 5120 443 3121,,,,,,,
CT03CASH2,TCP/11267,HKEX_USE,,11267,,,,,,,
CT03CASH2,TCP/137,HKEX_USE,,137,,,,,,,
CT03OTPC,ALL,General,IP,,,,,,,,
CT03OTPC,ALL_TCP,General,,1-65535,,,,,,,
CT03OTPC,ALL_UDP,General,,,1-65535,,,,,,
CT03OTPC,ALL_ICMP,General,ICMP,,,,,,,,
CT03OTPC,ALL_ICMP6,General,ICMP6,,,,,,,,
CT03OTPC,GRE,Tunneling,IP,,,47,,,,,
CT03OTPC,AH,Tunneling,IP,,,51,,,,,
CT03OTPC,ESP,Tunneling,IP,,,50,,,,,
CT03OTPC,AOL,,,5190-5194,,,disable,,,,
CT03OTPC,BGP,Network Services,,179,,,,,,,
CT03OTPC,DHCP,Network Services,,,67-68,,,,,,
CT03OTPC,DNS,Network Services,,53,53,,,,,,
CT03OTPC,FINGER,,,79,,,disable,,,,
CT03OTPC,FTP,File Access,,21,,,,,,,
CT03OTPC,FTP_GET,File Access,,21,,,,,,,
CT03OTPC,FTP_PUT,File Access,,21,,,,,,,
CT03OTPC,GOPHER,,,70,,,disable,,,,
CT03OTPC,H323,"VoIP, Messaging & Other Applications",,1720 1503,1719,,,,,,
CT03OTPC,HTTP,Web Access,,80,,,,,,,
CT03OTPC,HTTPS,Web Access,,443,,,,,,,
CT03OTPC,IKE,Tunneling,,,500 4500,,,,,,
CT03OTPC,IMAP,Email,,143,,,,,,,
CT03OTPC,IMAPS,Email,,993,,,,,,,
CT03OTPC,Internet-Locator-Service,,,389,,,disable,,,,
CT03OTPC,IRC,"VoIP, Messaging & Other Applications",,6660-6669,,,,,,,
CT03OTPC,L2TP,Tunneling,,1701,1701,,,,,,
CT03OTPC,LDAP,Authentication,,389,,,,,,,
CT03OTPC,NetMeeting,,,1720,,,disable,,,,
CT03OTPC,NFS,File Access,,111 2049,111 2049,,,,,,
CT03OTPC,NNTP,,,119,,,disable,,,,
CT03OTPC,NTP,Network Services,,123,123,,,,,,
CT03OTPC,OSPF,Network Services,IP,,,89,,,,,
CT03OTPC,PC-Anywhere,Remote Access,,5631,5632,,,,,,
CT03OTPC,PING,Network Services,ICMP,,,,,8,,,
CT03OTPC,TIMESTAMP,,ICMP,,,,disable,13,,,
CT03OTPC,INFO_REQUEST,,ICMP,,,,disable,15,,,
CT03OTPC,INFO_ADDRESS,,ICMP,,,,disable,17,,,
CT03OTPC,ONC-RPC,Remote Access,,111,111,,,,,,
CT03OTPC,DCE-RPC,Remote Access,,135,135,,,,,,
CT03OTPC,POP3,Email,,110,,,,,,,
CT03OTPC,POP3S,Email,,995,,,,,,,
CT03OTPC,PPTP,Tunneling,,1723,,,,,,,
CT03OTPC,QUAKE,,,,26000 27000 27910 27960,,disable,,,,
CT03OTPC,RAUDIO,,,,7070,,disable,,,,
CT03OTPC,REXEC,,,512,,,disable,,,,
CT03OTPC,RIP,Network Services,,,520,,,,,,
CT03OTPC,RLOGIN,,,513:512-1023,,,disable,,,,
CT03OTPC,RSH,,,514:512-1023,,,disable,,,,
CT03OTPC,SCCP,"VoIP, Messaging & Other Applications",,2000,,,,,,,
CT03OTPC,SIP,"VoIP, Messaging & Other Applications",,5060,5060,,,,,,
CT03OTPC,SIP-MSNmessenger,"VoIP, Messaging & Other Applications",,1863,,,,,,,
CT03OTPC,SAMBA,File Access,,139,,,,,,,
CT03OTPC,SMTP,Email,,25,,,,,,,
CT03OTPC,SMTPS,Email,,465,,,,,,,
CT03OTPC,SNMP,Network Services,,161-162,161-162,,,,,,
CT03OTPC,SSH,Remote Access,,22,,,,,,,
CT03OTPC,SYSLOG,Network Services,,,514,,,,,,
CT03OTPC,TALK,,,,517-518,,disable,,,,
CT03OTPC,TELNET,Remote Access,,23,,,,,,,
CT03OTPC,TFTP,File Access,,,69,,,,,,
CT03OTPC,MGCP,,,,2427 2727,,disable,,,,
CT03OTPC,UUCP,,,540,,,disable,,,,
CT03OTPC,VDOLIVE,,,7000-7010,,,disable,,,,
CT03OTPC,WAIS,,,210,,,disable,,,,
CT03OTPC,WINFRAME,,,1494 2598,,,disable,,,,
CT03OTPC,X-WINDOWS,Remote Access,,6000-6063,,,,,,,
CT03OTPC,PING6,,ICMP6,,,,disable,128,,,
CT03OTPC,MS-SQL,"VoIP, Messaging & Other Applications",,1433 1434,,,,,,,
CT03OTPC,MYSQL,"VoIP, Messaging & Other Applications",,3306,,,,,,,
