vdom,name,type,startip,endip
CT03CASH2,Srcnat_10.1.94.114-10.1.93.10,one-to-one,10.1.93.10,10.1.93.10
CT03CASH2,Srcnat_10.241.50.241-10.1.93.243,one-to-one,10.1.93.243,10.1.93.243
