vdom,name,uuid,type,start-ip,end-ip,subnet,wildcard-fqdn,fqdn,associated-interface,comment
CT03CASH2,Host_192.168.3.151,5a6ad936-65a0-51e7-f34d-aa58f76d7e70,,,,192.168.3.151 255.255.255.255,,,E.UCN,
CT03CASH2,Range_192.168.25.231-232,5a6b4d62-65a0-51e7-cb68-5b19ad4366ce,iprange,192.168.25.231,192.168.25.232,,,,E.UCN,
CT03CASH2,Range_192.168.55.19-20,5a6bcd5a-65a0-51e7-e79c-37ac22cb38b6,iprange,192.168.55.19,192.168.55.20,,,,E.UCN,
CT03CASH2,Range_192.168.91.21-22,5a6c4b5e-65a0-51e7-dc53-d0cb38d514d5,iprange,192.168.91.21,192.168.91.22,,,,E.UCN,
CT03CASH2,Range_192.168.25.220-221,5a6cc980-65a0-51e7-221d-5efd13edae08,iprange,192.168.25.220,192.168.25.221,,,,E.UCN,
CT03CASH2,Host_192.168.188.22,5a6d4630-65a0-51e7-6e5a-ed9560b36d3c,,,,192.168.188.22 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.150.36,5a6dbaf2-65a0-51e7-2ae9-a1c47fd3e519,,,,192.168.150.36 255.255.255.255,,,E.UCN,
CT03CASH2,Range_192.168.188.25-26,5a6e316c-65a0-51e7-c90c-438323415f9b,iprange,192.168.188.25,192.168.188.26,,,,E.UCN,
CT03CASH2,Host_192.168.150.70,5a6eb1d2-65a0-51e7-5b10-710577a42845,,,,192.168.150.70 255.255.255.255,,,E.UCN,
CT03CASH2,Range_10.70.16.11-12,5a6f2a40-65a0-51e7-3843-a4a0235ea96e,iprange,10.70.16.11,10.70.16.12,,,,I.TOFAPP,
CT03CASH2,Host_192.168.239.11,5a6fa72c-65a0-51e7-96ea-40b0e4f10d91,,,,192.168.239.11 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.188.36,5a7018ec-65a0-51e7-6b2b-257ed851b6ac,,,,192.168.188.36 255.255.255.255,,,E.UCN,
CT03CASH2,Host_10.1.88.86,5a708df4-65a0-51e7-0d29-38f80379dbfd,,,,10.1.88.86 255.255.255.255,,,I.CASH.Trust2,
CT03CASH2,Host_10.65.85.3,5a70fc9e-65a0-51e7-ef8b-16f3cff28bb4,,,,10.65.85.3 255.255.255.255,,,E.TOF1,
CT03CASH2,Host_10.70.12.70,5a716b98-65a0-51e7-34cf-73c5c18a42f0,,,,10.70.12.70 255.255.255.255,,,I.TOFAPP,
CT03CASH2,Host_10.70.14.61,5a71de66-65a0-51e7-ad85-84ff28537130,,,,10.70.14.61 255.255.255.255,,,I.SATWEB,
CT03CASH2,Host_172.23.2.1,5a724e96-65a0-51e7-327f-a40e4a9683d5,,,,172.23.2.1 255.255.255.255,,,E.XSYS,
CT03CASH2,Host_192.168.150.225,5a72c1aa-65a0-51e7-b1fb-b42b26c1aeb6,,,,192.168.150.225 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.150.226,5a733a54-65a0-51e7-50c6-09ff0594bdf2,,,,192.168.150.226 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.150.230,5a73b42a-65a0-51e7-33b7-c72ec33dfc56,,,,192.168.150.230 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.188.226,5a742b3a-65a0-51e7-221c-d4e3d7dec553,,,,192.168.188.226 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.188.230,5a74a5ba-65a0-51e7-a017-b71791a60da6,,,,192.168.188.230 255.255.255.255,,,E.UCN,
CT03CASH2,Host_192.168.224.8,5a752620-65a0-51e7-25ee-9fa3ca4be353,,,,192.168.224.8 255.255.255.255,,,E.UCN,
CT03CASH2,Net_10.1.89.0,5a759cea-65a0-51e7-bee0-108080befc5b,,,,10.1.89.0 255.255.255.0,,,I.CASH.Trust2,
CT03CASH2,Net_10.1.95.0,5a760d6a-65a0-51e7-40df-a2b900e11d5b,,,,10.1.95.0 255.255.255.0,,,I.CASH.Trust2,
CT03CASH2,Net_10.1.96.0,5a767cbe-65a0-51e7-6eb8-bc4f0df04ea6,,,,10.1.96.0 255.255.255.0,,,I.CASH.Trust2,
CT03CASH2,Net_10.68.15.0,5a77ce52-65a0-51e7-26b5-4a6055cd8974,,,,10.68.15.0 255.255.255.0,,,E.OMDD4,
CT03CASH2,Net_10.70.2.0,5a783eb4-65a0-51e7-e202-7c3eb90abeb2,,,,10.70.2.0 255.255.255.0,,,I.TOFAPP,
CT03CASH2,Net_10.70.3.0,5a78b42a-65a0-51e7-8522-6861ff8772bc,,,,10.70.3.0 255.255.255.0,,,I.TOFAPP,
CT03CASH2,Net_10.70.6.0,5a792784-65a0-51e7-48ca-a8b49e29ebe9,,,,10.70.6.0 255.255.255.0,,,I.TOFAPP,
CT03CASH2,Range_10.70.12.101-102,5a7a8610-65a0-51e7-48c5-6419306a4dfc,iprange,10.70.12.101,10.70.12.102,,,,I.TOFAPP,
CT03CASH2,Range_10.70.12.1-2,5a7b0644-65a0-51e7-4b8b-2a56d3a108dd,iprange,10.70.12.1,10.70.12.2,,,,I.TOFAPP,
CT03CASH2,Range_10.70.12.30-34,5a7b82b8-65a0-51e7-4dc5-263c4807f434,iprange,10.70.12.30,10.70.12.34,,,,I.TOFAPP,
CT03CASH2,Range_10.70.12.31-34,5a7c0210-65a0-51e7-e52e-d3a7436782c1,iprange,10.70.12.31,10.70.12.34,,,,I.TOFAPP,
CT03CASH2,Range_10.70.12.33-34,5a7c8460-65a0-51e7-90a7-efb120143c1c,iprange,10.70.12.33,10.70.12.34,,,,I.TOFAPP,
CT03CASH2,Range_10.70.12.80-81,5a7d0566-65a0-51e7-7a1a-3d75b38f2d45,iprange,10.70.12.80,10.70.12.81,,,,I.TOFAPP,
CT03CASH2,Range_10.70.14.51-52,5a7d8248-65a0-51e7-2135-0b87ebccb64e,iprange,10.70.14.51,10.70.14.52,,,,I.SATWEB,
CT03CASH2,Range_10.70.2.101-102,5a7e0204-65a0-51e7-4db7-40c735872029,iprange,10.70.2.101,10.70.2.102,,,,I.TOFAPP,
CT03CASH2,Range_10.70.2.31-34,5a7efb3c-65a0-51e7-a1d9-32651a8d5260,iprange,10.70.2.31,10.70.2.34,,,,I.TOFAPP,
CT03CASH2,Range_10.70.2.33-34,5a7f7a08-65a0-51e7-a9de-eea02828fc00,iprange,10.70.2.33,10.70.2.34,,,,I.TOFAPP,
